No,Words,Meaning
1,"Appreciation","the act of recognizing or understanding that something is valuable, important, or as described"
2,"Advocate","to publicly support or suggest an idea, development, or way of doing something"
3,"Amusement","the feeling of being entertained or made to laugh"
4,"Affection","a feeling of liking for a person or place"
5,"Assemble","to come together in a single place or bring parts together in a single group"
6,"Apprehensive","feeling worried about something that you are going to do or that is going to happen"
7,"Abhor","to hate a way of behaving or thinking, often because you think it is not moral"
8,"Amnesia","partial or total loss of memory, usually resulting from shock, psychological disturbance, brain injury, or illness."
9,"Amiable","pleasant and friendly"
10,"Admonish","to tell someone that they have done something wrong"
11,"Bewilder","to confuse or puzzle completely; perplex"
12,"Bibliography","a list of the works of a specific author or publisher"
13,"Brochure","a type of small magazine that contains pictures and information on a product or a company"
14,"Bellow","to shout in a loud voice"
15,"Brazen","obvious, without any attempt to be hidden"
16,"Brusque","quick and rude in manner or speech"
17,"Bustling","to move or go in a busy or hurried way"
18,"Burly","of a man : strong and heavy"
19,"Convert","to (cause something or someone to) change in form or character"
20,"Camouflage","disguise; behavior adopted or designed to deceive or hide."
21,"Caption","heading or title, as of an article"
22,"Cease","to stop something"
153,"Slight","small in amount or degree"
154,"Stable","unchanging and permanent"
155,"Stamina","the strength required to resist or withstand disease, fatigue or hardship"
156,"Sumptuous","of high quality, and often expensive"
157,"Substitution","the use of one person or thing instead of another"
158,"Tension","mental, emotional or nervous strain"
159,"Tentative","not fully worked out, concluded, or agreed on; provisional"
160,"Tedious","boring and tiring, because esp. because long or often repeated"
161,"Taut","tight or completely stretched"
162,"Tranquil","quiet and peaceful"
163,"Taint","to damage the quality, taste, or value of something"
164,"Torrential","used to refer to very heavy rain"
165,"Taunt","to intentionally annoy and upset someone by making unkind remarks to them, laughing unkindly, etc."
166,"Ulterior motive","a secret purpose or reason for doing something"
167,"Ultimatum","a demand that a person or group do something to avoid something unpleasant" 
168,"Unique","being without a like or equal; single in kind or excellence; unequaled"
169,"Utter","to say something or to make a sound with your voice" 
170,"Usher","one who escorts persons to seats at an assemblage (as in a theater or hall)"
171,"Vehement", "expressing strong feelings, or shown by strong feelings or great energy or force"
172,"Vivid","1. brightly coloured 2. producing clear, powerful, and detailed images in the mind (of descriptions or memories)"
173,"Violent", "1. using force to hurt or attack 2. used to describe a situation or event in which people are hurt or killed eg: a violent crime"
174, "Vindicate", "to clear of accusation, blame, suspicion, or doubt; to justify"
175, "Vulnerable", "able to be easily hurt, influenced or attacked"
176,"Weary","very tired, especially after working hard for a long time"
177,"Waft","a smell or smoke that moves through the air"
178,"Waive","to not demand something you have a right to, or not cause a rule to be obeyed"
179,"Wispy","a thin thread or strand of something (such as hair)"
180,"Waif","a child or animal without a home or enough care"
181,"Wince","to shrink or start involuntarily, as in pain or distress; flinch."
182,"Yank","to pull something forcefully with a quick movement"
183,"Yawn","to open the mouth wide and take a lot of air into the lungs and slowly send it out, usually when tired or bored"
184,"Yearn","to wish very strongly, especially for someething that you cannot have or something that is very difficult to have"
185,"Yoga","a set of physical and mental exercises, Indian in origin, which is intended to give control over the body and mind"
186,"Youngster","a young person; a child or youth."
